year,month,session,talk_title,speaker,words
1999,4,February 1999 Conversion and Retention Broadcast,"Find the Lambs, Feed the Sheep",Gordon B. Hinckley,5648
1999,4,General Young Women Meeting,Follow the Light,Margaret D. Nadauld,2150
1999,4,General Young Women Meeting,Spiritual Power of Our Baptism,Carol B. Thomas,1739
1999,4,General Young Women Meeting,Your Celestial Journey,Thomas S. Monson,2047
1999,4,General Young Women Meeting,Your Light in the Wilderness,Sharon G. Larsen,1579
1999,4,Priesthood Session,“Made Like unto the Son of God”,Ray H. Wood,1061
1999,4,Priesthood Session,Fellowshipping,Ned B. Roueché,927
1999,4,Priesthood Session,Obedience:The Path to Freedom,James E. Faust,2080
1999,4,Priesthood Session,Our Sacred Duty to Honor Women,Russell M. Nelson,1828
1999,4,Priesthood Session,Priesthood and the Home,D. Lee Tobler,1132
1999,4,Priesthood Session,The Priesthood—Mighty Army of the Lord,Thomas S. Monson,2322
1999,4,Priesthood Session,The Shepherds of the Flock,Gordon B. Hinckley,2505
1999,4,Saturday Afternoon Session,“Out of Small Things”,Stephen A. West,1482
1999,4,Saturday Afternoon Session,“Repent of [Our] Selfishness” (D&C 56:8),Neal A. Maxwell,1858
1999,4,Saturday Afternoon Session,Receive the Temple Blessings,Richard G. Scott,1921
1999,4,Saturday Afternoon Session,"Statistical Report, 1998",F. Michael Watson,182
1999,4,Saturday Afternoon Session,Strengthening Families:Our Sacred Duty,Robert D. Hales,2604
1999,4,Saturday Afternoon Session,The Church Audit Committee Report,Ted E. Davis,366
1999,4,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,410
1999,4,Saturday Afternoon Session,The Witness:Martin Harris,Dallin H. Oaks,2695
1999,4,Saturday Afternoon Session,True Followers,Robert J. Whetten,1497
1999,4,Saturday Morning Session,"Greed, Selfishness, and Overindulgence",Joe J. Christensen,2052
1999,4,Saturday Morning Session,Preparing Our Families for the Temple,Carol B. Thomas,2022
1999,4,Saturday Morning Session,Teach Them the Word of God with All Diligence,L. Tom Perry,2327
1999,4,Saturday Morning Session,The Hands of the Fathers,Jeffrey R. Holland,2078
1999,4,Saturday Morning Session,The Work Moves Forward,Gordon B. Hinckley,897
1999,4,Saturday Morning Session,This Is Our Day,James E. Faust,2242
1999,4,Sunday Afternoon Session,Bridges and Eternal Keepsakes,Dennis B. Neuenschwander,1554
